Title: Punch Analysis,,,,,,,,
,,,,,,,,
Trial,Subject,Gender,Age,Weight,Date,Arm,Speed (mph),Force (lbs)
1,M40001,M,40,180,22-Jul-15,Left,14,854
2,M40001,M,40,180,22-Jul-15,Left,22,1342
3,M40001,M,40,180,22-Jul-15,Left,29,1769
4,M40001,M,40,180,22-Jul-15,Left,25,1585
5,M40001,M,40,180,22-Jul-15,Left,27,1647
6,M40001,M,40,180,22-Jul-15,Left,32,1952
7,M40001,M,40,180,22-Jul-15,Left,33,2013
8,M40001,M,40,180,22-Jul-15,Left,34,2074
9,M40001,M,40,180,22-Jul-15,Left,31,1893
10,M40001,M,40,180,22-Jul-15,Left,30,1830
11,M40001,M,40,180,22-Jul-15,Right,26,1586
12,M40001,M,40,180,22-Jul-15,Right,30,1830
13,M40001,M,40,180,22-Jul-15,Right,34,2074
14,M40001,M,40,180,22-Jul-15,Right,21,1281
15,M40001,M,40,180,22-Jul-15,Right,24,1464
16,M40001,M,40,180,22-Jul-15,Right,16,976
17,M40001,M,40,180,22-Jul-15,Right,22,1342
18,M40001,M,40,180,22-Jul-15,Right,38,2318
19,M40001,M,40,180,22-Jul-15,Right,39,2379
20,M40001,M,40,180,22-Jul-15,Right,34,2074
